Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,,,
QC,Crops,124,Libya,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,3529,Im,FAO data based on imputation methodology,,,
QC,Crops,126,Lithuania,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,2200,Im,FAO data based on imputation methodology,,,
QC,Crops,129,Madagascar,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,2035,Im,FAO data based on imputation methodology,,,
QC,Crops,130,Malawi,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,29242,,Official data,,,
QC,Crops,133,Mali,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,80528,,Official data,,,
QC,Crops,134,Malta,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,838,,Official data,,,
QC,Crops,135,Martinique,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,499,Im,FAO data based on imputation methodology,,,
QC,Crops,137,Mauritius,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,2495,,Official data,,,
QC,Crops,138,Mexico,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,179656,,Official data,,,
QC,Crops,143,Morocco,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,52754,,Official data,,,
QC,Crops,150,Netherlands,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,55000,,Official data,,,
QC,Crops,153,New Caledonia,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,183,,Official data,,,
QC,Crops,158,Niger,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,8512,,Official data,,,
QC,Crops,154,North Macedonia,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,1035,Im,FAO data based on imputation methodology,,,
QC,Crops,221,Oman,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,32214,,Official data,,,
QC,Crops,165,Pakistan,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,87587,,Official data,,,
QC,Crops,299,Palestine,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,59480,Im,FAO data based on imputation methodology,,,
QC,Crops,170,Peru,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,476,,Official data,,,
QC,Crops,171,Philippines,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,244838,,Official data,,,
QC,Crops,174,Portugal,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,5209,Im,FAO data based on imputation methodology,,,
QC,Crops,177,Puerto Rico,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,887,Im,FAO data based on imputation methodology,,,
QC,Crops,179,Qatar,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,2902,,Official data,,,
QC,Crops,117,Republic of Korea,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,5472,Im,FAO data based on imputation methodology,,,
QC,Crops,146,Republic of Moldova,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,5022,,Official data,,,
QC,Crops,182,Räùunion,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,1034,Im,FAO data based on imputation methodology,,,
QC,Crops,183,Romania,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,137829,,Official data,,,
QC,Crops,184,Rwanda,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,53277,Im,FAO data based on imputation methodology,,,
QC,Crops,194,Saudi Arabia,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,25384,,Official data,,,
QC,Crops,195,Senegal,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,3655,Im,FAO data based on imputation methodology,,,
QC,Crops,272,Serbia,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,2040,Im,FAO data based on imputation methodology,,,
QC,Crops,277,South Sudan,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,,M,Data not available,,,
QC,Crops,203,Spain,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,238325,,Official data,,,
QC,Crops,38,Sri Lanka,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,129212,,Official data,,,
QC,Crops,276,Sudan,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,92558,Im,FAO data based on imputation methodology,,,
QC,Crops,212,Syrian Arab Republic,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,128290,Im,FAO data based on imputation methodology,,,
QC,Crops,216,Thailand,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,19926,Im,FAO data based on imputation methodology,,,
QC,Crops,220,Trinidad and Tobago,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,488,,Official data,,,
QC,Crops,222,Tunisia,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,884,Im,FAO data based on imputation methodology,,,
QC,Crops,223,Turkey,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,836284,,Official data,,,
QC,Crops,230,Ukraine,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,68510,,Official data,,,
QC,Crops,225,United Arab Emirates,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,20859,,Official data,,,
QC,Crops,231,United States of America,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,103003,Im,FAO data based on imputation methodology,,,
QC,Crops,235,Uzbekistan,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,10935,Im,FAO data based on imputation methodology,,,
QC,Crops,236,Venezuela (Bolivarian Republic of),5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,17206,Im,FAO data based on imputation methodology,,,
QC,Crops,249,Yemen,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,4809,Im,FAO data based on imputation methodology,,,
